ensembleID,gene_name,cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ENSG00000105369,CD79A,B_cells,0,4.243867464,0.982,0.019,0
ENSG00000156738,MS4A1,B_cells,0,3.936851683,0.978,0.017,0
ENSG00000204287,HLA-DRA,B_cells,0,3.251063281,0.994,0.362,0
ENSG00000019582,CD74,B_cells,0,3.210299514,1,0.842,0
ENSG00000100721,TCL1A,B_cells,0,3.096689004,0.56,0.002,0
ENSG00000196735,HLA-DQA1,B_cells,0,2.945039551,0.948,0.148,0
ENSG00000007312,CD79B,B_cells,0,2.919396115,0.92,0.076,0
ENSG00000211899,IGHM,B_cells,0,2.917978553,0.764,0.015,0
ENSG00000153064,BANK1,B_cells,0,2.819322797,0.869,0.008,0
ENSG00000247982,LINC00926,B_cells,0,2.65316856,0.816,0.004,0
ENSG00000179344,HLA-DQB1,B_cells,0,2.567102246,0.953,0.23,0
ENSG00000231389,HLA-DPA1,B_cells,0,2.426177469,0.982,0.423,0
ENSG00000116191,RALGPS2,B_cells,0,2.391269538,0.788,0.037,0
ENSG00000270550,IGHV3-30,B_cells,0,2.37527786,0.121,0.012,0
ENSG00000223865,HLA-DPB1,B_cells,0,2.364780775,0.971,0.419,0
ENSG00000104894,CD37,B_cells,0,2.255746575,0.998,0.805,0
ENSG00000104921,FCER2,B_cells,0,2.222620733,0.582,0.004,0
ENSG00000167483,NIBAN3,B_cells,0,2.208523507,0.663,0.003,0
ENSG00000211949,IGHV3-23,B_cells,0,2.189286343,0.12,0.009,0
ENSG00000196126,HLA-DRB1,B_cells,0,2.178585302,0.991,0.467,0
ENSG00000144218,AFF3,B_cells,0,2.135675731,0.712,0.018,0
ENSG00000122986,HVCN1,B_cells,0,2.078537296,0.779,0.122,0
ENSG00000163534,FCRL1,B_cells,0,2.022807214,0.631,0.002,0
ENSG00000198502,HLA-DRB5,B_cells,0,2.002618784,0.928,0.327,0
ENSG00000132185,FCRLA,B_cells,0,1.972482008,0.66,0.001,0
ENSG00000269404,SPIB,B_cells,0,1.885945489,0.602,0.003,0
ENSG00000012124,CD22,B_cells,0,1.851066734,0.609,0.002,0
ENSG00000177455,CD19,B_cells,0,1.84668339,0.614,0.001,0
ENSG00000128218,VPREB3,B_cells,0,1.838723679,0.555,0.001,0
ENSG00000083454,P2RX5,B_cells,0,1.823806483,0.587,0.031,0
ENSG00000136573,BLK,B_cells,0,1.784915263,0.603,0.004,0
ENSG00000133789,SWAP70,B_cells,0,1.764414005,0.677,0.064,0
ENSG00000211679,IGLC3,B_cells,0,1.731095463,0.28,0.004,0
ENSG00000211898,IGHD,B_cells,0,1.726946495,0.493,0.001,0
ENSG00000147535,PLPP5,B_cells,0,1.725073643,0.522,0.068,0
ENSG00000204257,HLA-DMA,B_cells,0,1.721829067,0.839,0.229,0
ENSG00000042980,ADAM28,B_cells,0,1.635882736,0.543,0.012,0
ENSG00000081189,MEF2C,B_cells,0,1.600687374,0.695,0.136,0
ENSG00000272398,CD24,B_cells,0,1.582639922,0.498,0.001,0
ENSG00000162894,FCMR,B_cells,0,1.556854275,0.875,0.355,0
ENSG00000159958,TNFRSF13C,B_cells,0,1.512381486,0.523,0.008,0
ENSG00000110777,POU2AF1,B_cells,0,1.47734403,0.519,0.005,0
ENSG00000145088,EAF2,B_cells,0,1.471273364,0.551,0.059,0
ENSG00000095585,BLNK,B_cells,0,1.432925593,0.509,0.004,0
ENSG00000137101,CD72,B_cells,0,1.430930169,0.449,0.014,0
ENSG00000242574,HLA-DMB,B_cells,0,1.428242055,0.699,0.155,0
ENSG00000162144,CYB561A3,B_cells,0,1.4183633,0.599,0.119,0
ENSG00000112182,BACH2,B_cells,0,1.407306949,0.482,0.079,0
ENSG00000227507,LTB,B_cells,0,1.399710772,0.962,0.475,0
ENSG00000140968,IRF8,B_cells,0,1.37631187,0.589,0.095,0
ENSG00000101017,CD40,B_cells,0,1.375249731,0.511,0.036,0
ENSG00000241106,HLA-DOB,B_cells,0,1.343982792,0.474,0.006,0
ENSG00000121966,CXCR4,B_cells,0,1.343326972,0.834,0.486,0
ENSG00000023445,BIRC3,B_cells,0,1.342462653,0.596,0.157,0
ENSG00000211592,IGKC,B_cells,0,1.332303765,0.471,0.041,0
ENSG00000171604,CXXC5,B_cells,0,1.325396048,0.568,0.082,0
ENSG00000205302,SNX2,B_cells,0,1.315570227,0.727,0.248,0
ENSG00000196628,TCF4,B_cells,0,1.305754685,0.473,0.033,0
ENSG00000102445,RUBCNL,B_cells,0,1.294406839,0.455,0.015,0
ENSG00000145416,1-Mar,B_cells,0,1.266280891,0.626,0.15,0
ENSG00000196092,PAX5,B_cells,0,1.244379011,0.417,0.001,0
ENSG00000082438,COBLL1,B_cells,0,1.239778077,0.402,0.003,0
ENSG00000112149,CD83,B_cells,0,1.216812313,0.471,0.093,0
ENSG00000108639,SYNGR2,B_cells,0,1.202781995,0.78,0.381,0
ENSG00000077238,IL4R,B_cells,0,1.189811735,0.411,0.148,0
ENSG00000176533,GNG7,B_cells,0,1.187655868,0.432,0.014,0
ENSG00000119866,BCL11A,B_cells,0,1.1644218,0.421,0.027,0
ENSG00000008282,SYPL1,B_cells,0,1.114815478,0.585,0.17,0
