Group,Celltype,Ratio_mean
C,B_cells,6.205072554
HC,B_cells,5.876231672
M_P,B_cells,4.809540312
M_R,B_cells,14.06406406
S_P,B_cells,6.628996692
S_R,B_cells,2.010968921
C,CD14_CD16_monocytes,49.70906266
HC,CD14_CD16_monocytes,16.20564439
M_P,CD14_CD16_monocytes,26.85464186
M_R,CD14_CD16_monocytes,3.473473473
S_P,CD14_CD16_monocytes,37.26571114
S_R,CD14_CD16_monocytes,33.53519196
C,dendritic_cells,11.72640399
HC,dendritic_cells,4.731407217
M_P,dendritic_cells,2.685352526
M_R,dendritic_cells,1.741741742
S_P,dendritic_cells,1.832965821
S_R,dendritic_cells,14.01965265
C,Macrophages,2.541746469
HC,Macrophages,1.912447594
M_P,Macrophages,2.772004478
M_R,Macrophages,0.500500501
S_P,Macrophages,1.571113561
S_R,Macrophages,0.902650823
C,NK_cells,4.677436333
HC,NK_cells,4.056369664
M_P,NK_cells,11.58729443
M_R,NK_cells,20.82082082
S_P,NK_cells,4.134509372
S_R,NK_cells,10.23765996
C,pDC_cells,0.006729475
HC,pDC_cells,0.423476594
M_P,pDC_cells,0.048648649
M_R,pDC_cells,0.03003003
S_P,pDC_cells,0.013781698
S_R,pDC_cells,0.02285192
C,Plasma_B_cells,0.945158732
HC,Plasma_B_cells,0.05955884
M_P,Plasma_B_cells,0.123624856
M_R,Plasma_B_cells,0
S_P,Plasma_B_cells,0.179162073
S_R,Plasma_B_cells,1.999542962
C,platelets,0.521849987
HC,platelets,0.588974644
M_P,platelets,5.403923735
M_R,platelets,3.873873874
S_P,platelets,1.984564498
S_R,platelets,1.234003656
C,T_cells,23.66653979
HC,T_cells,66.14588938
M_P,T_cells,45.71496915
M_R,T_cells,55.4954955
S_P,T_cells,46.38919515
S_R,T_cells,36.03747715
