Sample,Celltype,Freq,Sample_num,Celltype_num,Ratio_Celltype,Ratio_Sample
C_1,B_cells,494,5191,4552,10.85237258,9.516470815
C_2,B_cells,215,7430,4552,4.723198594,2.893674293
HC_1,B_cells,429,7560,4552,9.424428822,5.674603175
HC_2,B_cells,459,7552,4552,10.08347979,6.077860169
M_1_P,B_cells,568,9250,4552,12.47803163,6.140540541
M_2_P,B_cells,325,9343,4552,7.139718805,3.478540083
M_2_R,B_cells,1405,9990,4552,30.8655536,14.06406406
S_P,B_cells,481,7256,4552,10.56678383,6.628996692
S_R,B_cells,176,8752,4552,3.866432337,2.010968921
C_1,CD14_CD16_monocytes,2355,5191,19776,11.90837379,45.36698131
C_2,CD14_CD16_monocytes,4016,7430,19776,20.30744337,54.05114401
HC_1,CD14_CD16_monocytes,1228,7560,19776,6.209546926,16.24338624
HC_2,CD14_CD16_monocytes,1221,7552,19776,6.174150485,16.16790254
M_1_P,CD14_CD16_monocytes,4780,9250,19776,24.17071197,51.67567568
M_2_P,CD14_CD16_monocytes,190,9343,19776,0.960760518,2.033608049
M_2_R,CD14_CD16_monocytes,347,9990,19776,1.754652104,3.473473473
S_P,CD14_CD16_monocytes,2704,7256,19776,13.67313916,37.26571114
S_R,CD14_CD16_monocytes,2935,8752,19776,14.84122168,33.53519196
C_1,dendritic_cells,509,5191,4271,11.9175837,9.805432479
C_2,dendritic_cells,1014,7430,4271,23.74151253,13.6473755
HC_1,dendritic_cells,348,7560,4271,8.147974713,4.603174603
HC_2,dendritic_cells,367,7552,4271,8.592835402,4.859639831
M_1_P,dendritic_cells,277,9250,4271,6.485600562,2.994594595
M_2_P,dendritic_cells,222,9343,4271,5.197845938,2.376110457
M_2_R,dendritic_cells,174,9990,4271,4.073987357,1.741741742
S_P,dendritic_cells,133,7256,4271,3.114024819,1.832965821
S_R,dendritic_cells,1227,8752,4271,28.72863498,14.01965265
C_1,Macrophages,48,5191,1402,3.423680456,0.924677326
C_2,Macrophages,309,7430,1402,22.03994294,4.158815612
HC_1,Macrophages,136,7560,1402,9.70042796,1.798941799
HC_2,Macrophages,153,7552,1402,10.91298146,2.02595339
M_1_P,Macrophages,495,9250,1402,35.30670471,5.351351351
M_2_P,Macrophages,18,9343,1402,1.283880171,0.192657605
M_2_R,Macrophages,50,9990,1402,3.566333809,0.500500501
S_P,Macrophages,114,7256,1402,8.131241084,1.571113561
S_R,Macrophages,79,8752,1402,5.634807418,0.902650823
C_1,NK_cells,232,5191,6647,3.490296374,4.469273743
C_2,NK_cells,363,7430,6647,5.461110275,4.885598923
HC_1,NK_cells,308,7560,6647,4.633669325,4.074074074
HC_2,NK_cells,305,7552,6647,4.588536182,4.038665254
M_1_P,NK_cells,219,9250,6647,3.294719422,2.367567568
M_2_P,NK_cells,1944,9343,6647,29.24627652,20.8070213
M_2_R,NK_cells,2080,9990,6647,31.29231232,20.82082082
S_P,NK_cells,300,7256,6647,4.513314277,4.134509372
S_R,NK_cells,896,8752,6647,13.47976531,10.23765996
C_1,pDC_cells,0,5191,80,0,0
C_2,pDC_cells,1,7430,80,1.25,0.01345895
HC_1,pDC_cells,36,7560,80,45,0.476190476
HC_2,pDC_cells,28,7552,80,35,0.370762712
M_1_P,pDC_cells,9,9250,80,11.25,0.097297297
M_2_P,pDC_cells,0,9343,80,0,0
M_2_R,pDC_cells,3,9990,80,3.75,0.03003003
S_P,pDC_cells,1,7256,80,1.25,0.013781698
S_R,pDC_cells,2,8752,80,2.5,0.02285192
C_1,Plasma_B_cells,8,5191,357,2.240896359,0.154112888
C_2,Plasma_B_cells,129,7430,357,36.13445378,1.736204576
HC_1,Plasma_B_cells,4,7560,357,1.120448179,0.052910053
HC_2,Plasma_B_cells,5,7552,357,1.400560224,0.066207627
M_1_P,Plasma_B_cells,10,9250,357,2.801120448,0.108108108
M_2_P,Plasma_B_cells,13,9343,357,3.641456583,0.139141603
M_2_R,Plasma_B_cells,0,9990,357,0,0
S_P,Plasma_B_cells,13,7256,357,3.641456583,0.179162073
S_R,Plasma_B_cells,175,8752,357,49.01960784,1.999542962
C_1,platelets,43,5191,1788,2.4049217,0.828356771
C_2,platelets,16,7430,1788,0.894854586,0.215343203
HC_1,platelets,39,7560,1788,2.181208054,0.515873016
HC_2,platelets,50,7552,1788,2.796420582,0.662076271
M_1_P,platelets,873,9250,1788,48.82550336,9.437837838
M_2_P,platelets,128,9343,1788,7.158836689,1.370009633
M_2_R,platelets,387,9990,1788,21.6442953,3.873873874
S_P,platelets,144,7256,1788,8.053691275,1.984564498
S_R,platelets,108,8752,1788,6.040268456,1.234003656
C_1,T_cells,1502,5191,33451,4.490149771,28.93469466
C_2,T_cells,1367,7430,33451,4.086574392,18.39838493
HC_1,T_cells,5032,7560,33451,15.04289857,66.56084656
HC_2,T_cells,4964,7552,33451,14.83961615,65.7309322
M_1_P,T_cells,2019,9250,33451,6.035694,21.82702703
M_2_P,T_cells,6503,9343,33451,19.44037547,69.60291127
M_2_R,T_cells,5544,9990,33451,16.57349556,55.4954955
S_P,T_cells,3366,7256,33451,10.06247945,46.38919515
S_R,T_cells,3154,8752,33451,9.42871663,36.03747715
